"","1-C-A-1","1-C-A-3","1-C-A-5","1-C-A-7","1-C-B-1","1-C-B-3","1-C-B-5","1-C-B-7","6-C-A-1","6-C-A-3","6-C-A-5","6-C-A-7","6-C-B-1","6-C-B-3","6-C-B-5","6-C-B-7"
"OTU1",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU4",4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"OTU5",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"OTU6",5,16,22,19,25,20,24,20,5,16,15,13,44,16,13,24
"OTU7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU8",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"OTU9",0,2,0,1,25,0,1,13,0,0,0,1,47,2,0,15
"OTU10",0,0,1,1,77,1,5,28,5,1,2,4,114,2,0,37
"OTU11",108,60,69,78,486,45,30,208,68,72,80,78,328,68,16,123
"OTU12",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU13",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU14",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU15",0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU16",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"OTU17",0,6,0,2,0,0,0,0,0,1,0,1,0,0,0,0
"OTU18",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU19",1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"OTU20",10,37,35,31,32,17,27,19,9,54,35,28,29,6,20,26
"OTU21",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU22",0,0,16,7,0,0,0,0,0,0,59,13,0,0,0,0
"OTU23",0,2,2,1,0,0,0,0,0,8,14,7,0,0,0,0
"OTU24",0,0,0,0,0,0,3,2,0,1,2,1,13,0,2,6
"OTU25",0,3,2,2,0,0,2,3,0,1,0,1,0,0,1,1
"OTU26",145,753,968,601,1305,2788,3778,2670,357,548,520,453,1772,2291,3123,2401
"OTU27",0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,2
"OTU28",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU29",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"OTU30",0,3,0,0,0,0,0,0,0,4,0,2,0,0,0,0
"OTU31",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"OTU32",0,1,0,1,0,0,0,0,0,5,0,2,0,0,0,0
"OTU33",0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0
"OTU34",0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
"OTU35",0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
"OTU36",0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
"OTU37",0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0
"OTU38",1,11,1,3,0,0,0,0,0,1,5,0,0,0,0,0
"OTU39",0,1,0,1,0,0,23,7,0,0,1,0,2,17,3,6
"OTU40",2,5,9,4,1,1,1,1,0,0,6,2,3,3,4,3
"OTU41",9,119,121,81,155,416,508,339,39,69,93,69,193,292,370,264
"OTU42",8555,7070,6673,7489,4153,5227,3915,4404,8373,7727,7577,7937,4191,5780,4931,5058
"OTU43",9,47,12,17,8,39,9,13,9,3,11,10,34,8,7,21
"OTU44",452,573,1272,782,621,761,1137,782,341,635,793,560,638,870,1002,829
"OTU45",342,919,411,492,1121,304,124,561,417,477,407,438,947,220,105,411
"OTU46",1,7,7,3,15,1,11,6,3,3,4,3,7,0,10,5
"OTU47",26,27,54,49,1647,55,78,595,50,35,40,44,1310,98,69,444
