,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47
OTU1,NA,0,0.337290066617014,0.543564443199597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3,0.337290066617014,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4,0.543564443199597,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321212260125146,0,0,0,0,0,0,0,0,0
OTU5,0,0,0,0,NA,0,0,0.543564443199597,0.293564443199597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37138397431438
OTU6,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380240814944148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418821231072075,0
OTU7,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU8,0,0,0,0,0.543564443199597,0,0,NA,0,0,0.37138397431438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293564443199597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU9,0,0,0,0,0.293564443199597,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811278124459133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437892596269314
OTU10,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.347589881390797,0,0,0,0.811278124459133,0,0,0,0,0,0,0,0,0,0,0.437892596269314,0,0,0,0,0,0,0,0,0.437892596269314
OTU11,0,0,0,0,0,0,0,0.37138397431438,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811278124459133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU12,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU13,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.543564443199597,0.37138397431438,0.543564443199597,0.543564443199597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37138397431438,0,0,0,0,0,0,0,0,0
OTU14,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU15,0,0,0,0,0,0,0,0,0,0,0,0,0.543564443199597,0,NA,0.37138397431438,0.543564443199597,0.543564443199597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37138397431438,0,0,0,0,0,0,0,0,0
